arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file
phase4_asx_individual,weather,720,336,2024,ok,0.5029659,0.24049758911132812,0.28208592534065247,31,144,0,28338714,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl336_sd2024.log
phase4_asx_individual,weather,720,336,2025,ok,0.5033673,0.24062591791152954,0.28217869997024536,31,144,0,28338718,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl336_sd2025.log
phase4_asx_individual,weather,720,336,2026,ok,0.5035602,0.24058492481708527,0.2821459174156189,31,144,0,28338722,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl336_sd2026.log
phase4_asx_individual,weather,720,720,2024,ok,0.5957592,0.3096759617328644,0.3318905234336853,31,144,0,28338715,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl720_sd2024.log
phase4_asx_individual,weather,720,720,2025,ok,0.5958335,0.30972111225128174,0.33194679021835327,31,144,0,28338719,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl720_sd2025.log
phase4_asx_individual,weather,720,720,2026,ok,0.5957321,0.3096681237220764,0.3318565785884857,31,144,0,28338723,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl720_sd2026.log
phase4_asx_individual,weather,720,96,2024,ok,0.38208,0.14801184833049774,0.2021496593952179,31,144,0,28338712,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl96_sd2024.log
phase4_asx_individual,weather,720,96,2025,ok,0.3823467,0.14835986495018005,0.202670618891716,31,144,0,28338716,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl96_sd2025.log
phase4_asx_individual,weather,720,96,2026,ok,0.3819792,0.14803440868854523,0.2022281140089035,31,144,0,28338720,logs/AsySpecX_phase4/phase4_asx_individual_weather_sl720_pl96_sd2026.log
phase4_asx_individual_period,electricity,720,192,2024,ok,0.1312407,0.15753169357776642,0.25590279698371887,181,24+168,0,28338798,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl192_sd2024.log
phase4_asx_individual_period,electricity,720,192,2025,ok,0.1312009,0.15751923620700836,0.2558891773223877,181,24+168,0,28338802,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl192_sd2025.log
phase4_asx_individual_period,electricity,720,192,2026,ok,0.131233,0.1575303077697754,0.25591373443603516,181,24+168,0,28338806,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl192_sd2026.log
phase4_asx_individual_period,electricity,720,336,2024,ok,0.1459391,0.17195919156074524,0.27042752504348755,181,24+168,0,28338799,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl336_sd2024.log
phase4_asx_individual_period,electricity,720,336,2025,ok,0.1458849,0.17196816205978394,0.2704448699951172,181,24+168,0,28338803,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl336_sd2025.log
phase4_asx_individual_period,electricity,720,336,2026,ok,0.1458898,0.1719585359096527,0.27044618129730225,181,24+168,0,28338807,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl336_sd2026.log
phase4_asx_individual_period,electricity,720,720,2024,ok,0.1771063,0.20617207884788513,0.29890045523643494,181,24+168,0,28338800,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl720_sd2024.log
phase4_asx_individual_period,electricity,720,720,2025,ok,0.1771635,0.20621216297149658,0.2989007830619812,181,24+168,0,28338804,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl720_sd2025.log
phase4_asx_individual_period,electricity,720,720,2026,ok,0.1771416,0.20623630285263062,0.29889845848083496,181,24+168,0,28338808,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl720_sd2026.log
phase4_asx_individual_period,electricity,720,96,2024,ok,0.1186958,0.14145955443382263,0.24263016879558563,181,24+168,0,28338797,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl96_sd2024.log
phase4_asx_individual_period,electricity,720,96,2025,ok,0.1186998,0.14144466817378998,0.24261541664600372,181,24+168,0,28338801,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl96_sd2025.log
phase4_asx_individual_period,electricity,720,96,2026,ok,0.1186458,0.1414840966463089,0.24264517426490784,181,24+168,0,28338805,logs/AsySpecX_phase4/phase4_asx_individual_period_electricity_sl720_pl96_sd2026.log
phase4_asx_individual_period,weather,720,192,2024,ok,0.4384947,0.19082607328891754,0.2429926097393036,31,144,0,28338786,logs/AsySpecX_phase4/phase4_asx_individual_period_weather_sl720_pl192_sd2024.log
