run_tag,arm,dataset,seq_len,pred_len,seed,cut_freq,cycle,periods,status,exit_code,job_id,n_param,val_mse,mse,mae,t_train,t_inf,peak_cuda_mb,log_file,summary_file,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase10_0712v1,period,electricity,720,96,2026,181,168,24+168,ok,0,28661049,219412,0.1156391,0.13718169927597046,0.23702199757099152,943.7003,7.2911,997.65,logs/AsySpecX_phase10/phase10_0712v1_period_electricity_sl720_pl96_cf181_sd2026.log,phase10_results/screen_0712v1/period/electricity/sl720_pl96_cf181_sd2026/run_summary.json,0.1134739,0.106641,0.1237936,0.1194877
phase10_0712v1,period_cycle_full,electricity,720,96,2026,181,168,24+168,ok,0,28661051,273340,0.1115253,0.13418588042259216,0.2324666529893875,943.1053,7.1488,1127.57,logs/AsySpecX_phase10/phase10_0712v1_period_cycle_full_electricity_sl720_pl96_cf181_sd2026.log,phase10_results/screen_0712v1/period_cycle_full/electricity/sl720_pl96_cf181_sd2026/run_summary.json,0.1092447,0.1026202,0.120016,0.1150503
phase10el_0712v1,period_cycle_full,electricity,720,192,2026,181,168,24+168,ok,0,28661281,420412,0.1241785,0.14940206706523895,0.24575628340244293,1047.8083,8.383,1285.29,logs/AsySpecX_phase10/phase10el_0712v1_period_cycle_full_electricity_sl720_pl192_cf181_sd2026.log,phase10_results/electricity_long_full_0712v1/period_cycle_full/electricity/sl720_pl192_cf181_sd2026/run_summary.json,0.1207645,0.1134232,0.1354041,0.1272914
phase10ec_0712v1,cross_cycle_full,electricity,720,336,2026,61,168,24+168,ok,0,28661408,71418,0.1488117,0.1787162572145462,0.28098559379577637,1188.6541,9.7332,1229.57,logs/AsySpecX_phase10/phase10ec_0712v1_cross_cycle_full_electricity_sl720_pl336_cf61_sd2026.log,phase10_results/electricity_cutoff_0712v1/cross_cycle_full/electricity/sl720_pl336_cf61_sd2026/run_summary.json,0.149628,0.1392843,0.1587477,0.1478694
phase10ec85_0712v1,cross_cycle_full,electricity,720,336,2026,85,168,24+168,ok,0,28661554,81710,0.1474187,0.17699730396270752,0.27788782119750977,1160.0342,9.5382,1264.31,logs/AsySpecX_phase10/phase10ec85_0712v1_cross_cycle_full_electricity_sl720_pl336_cf85_sd2026.log,phase10_results/electricity_cutoff_cf85_0712v1/cross_cycle_full/electricity/sl720_pl336_cf85_sd2026/run_summary.json,0.1478649,0.1371183,0.1576972,0.1475935
phase10ec_0712v1,cross_cycle_full,electricity,720,336,2026,121,168,24+168,ok,0,28661410,103570,0.1422358,0.16912317276000977,0.26783788204193115,1180.9228,10.058,1311.41,logs/AsySpecX_phase10/phase10ec_0712v1_cross_cycle_full_electricity_sl720_pl336_cf121_sd2026.log,phase10_results/electricity_cutoff_0712v1/cross_cycle_full/electricity/sl720_pl336_cf121_sd2026/run_summary.json,0.1423265,0.1324137,0.1530348,0.141653
phase10ep_0712v1,cross_cycle_full,electricity,720,336,2026,181,168,24+168,ok,0,28661123,156842,0.1400857,0.16632600128650665,0.26398414373397827,1184.5396,9.667,1396.45,logs/AsySpecX_phase10/phase10ep_0712v1_cross_cycle_full_electricity_sl720_pl336_cf181_sd2026.log,phase10_results/electricity_pareto_0712v1/cross_cycle_full/electricity/sl720_pl336_cf181_sd2026/run_summary.json,0.1394912,0.1300648,0.1517784,0.1399746
phase10_0712v1,period,electricity,720,336,2026,181,168,24+168,ok,0,28661050,587092,0.1426651,0.16668222844600677,0.2639300525188446,1187.6155,10.006,1343.76,logs/AsySpecX_phase10/phase10_0712v1_period_electricity_sl720_pl336_cf181_sd2026.log,phase10_results/screen_0712v1/period/electricity/sl720_pl336_cf181_sd2026/run_summary.json,0.1430378,0.1332967,0.1538196,0.1414868
phase10_0712v1,period_cycle_full,electricity,720,336,2026,181,168,24+168,ok,0,28661052,641020,0.1388566,0.16435305774211884,0.26061001420021057,1194.0231,9.7497,1511.71,logs/AsySpecX_phase10/phase10_0712v1_period_cycle_full_electricity_sl720_pl336_cf181_sd2026.log,phase10_results/screen_0712v1/period_cycle_full/electricity/sl720_pl336_cf181_sd2026/run_summary.json,0.1384389,0.1289935,0.1505419,0.1384183
phase10el_0712v1,period_cycle_full,electricity,720,720,2026,181,168,24+168,ok,0,28661282,1229672,0.1700018,0.20198948681354523,0.29226043820381165,1646.0736,13.1887,2128.33,logs/AsySpecX_phase10/phase10el_0712v1_period_cycle_full_electricity_sl720_pl720_cf181_sd2026.log,phase10_results/electricity_long_full_0712v1/period_cycle_full/electricity/sl720_pl720_cf181_sd2026/run_summary.json,0.1940141,0.1537688,0.1713064,0.1616156
phase10_0712v1,ind,weather,96,96,2026,5,144,144,ok,0,28661027,2562,0.4229359,0.17121659219264984,0.21894040703773499,334.4949,2.5613,77.28,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl96_cf5_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl96_cf5_sd2026/run_summary.json,0.2089263,0.8221064,0.2748556,0.3921067
phase10_0712v1,ind,weather,96,96,2026,13,144,144,ok,0,28661029,15330,0.4141501,0.16701705753803253,0.21398238837718964,372.3575,2.4792,77.56,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl96_cf13_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.2012015,0.8110819,0.2692473,0.3867358
phase10_0712v1,ind,weather,96,96,2026,25,144,144,ok,0,28661031,54642,0.4101717,0.16568073630332947,0.21233049035072327,375.0868,2.3902,78.24,logs/AsySpecX_phase10/phase10_0712v1_ind_weather_sl96_pl96_cf25_sd2026.log,phase10_results/screen_0712v1/ind/weather/sl96_pl96_cf25_sd2026/run_summary.json,0.1980528,0.8065134,0.2675638,0.3847326
phase10_0712v1,ind_cycle_full,weather,96,96,2026,13,144,144,ok,0,28661033,18354,0.3964137,0.15883302688598633,0.20491468906402588,281.7686,2.5968,79.66,logs/AsySpecX_phase10/phase10_0712v1_ind_cycle_full_weather_sl96_pl96_cf13_sd2026.log,phase10_results/screen_0712v1/ind_cycle_full/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.1677598,0.79493,0.2524392,0.3819118
phase10wcc_0712v1,ind_cycle_full_direct_res,weather,96,96,2024,13,144,144,ok,0,28661253,27762,0.3933355,0.1572207808494568,0.20213919878005981,401.1722,2.6873,81.25,logs/AsySpecX_phase10/phase10wcc_0712v1_ind_cycle_full_direct_res_weather_sl96_pl96_cf13_sd2024.log,phase10_results/confirm_weather_combo_h96_0712v1/ind_cycle_full_direct_res/weather/sl96_pl96_cf13_sd2024/run_summary.json,0.1634357,0.7907705,0.2496328,0.3754531
phase10wcc_0712v1,ind_cycle_full_direct_res,weather,96,96,2025,13,144,144,ok,0,28661254,27762,0.3938217,0.15783028304576874,0.20279286801815033,266.8279,2.519,81.25,logs/AsySpecX_phase10/phase10wcc_0712v1_ind_cycle_full_direct_res_weather_sl96_pl96_cf13_sd2025.log,phase10_results/confirm_weather_combo_h96_0712v1/ind_cycle_full_direct_res/weather/sl96_pl96_cf13_sd2025/run_summary.json,0.1634688,0.792125,0.2504867,0.3766347
phase10wc_0712v1,ind_cycle_full_direct_res,weather,96,96,2026,13,144,144,ok,0,28661182,27762,0.3922333,0.15734562277793884,0.2023373246192932,295.6859,2.6698,81.25,logs/AsySpecX_phase10/phase10wc_0712v1_ind_cycle_full_direct_res_weather_sl96_pl96_cf13_sd2026.log,phase10_results/weather_combo_0712v1/ind_cycle_full_direct_res/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.1642527,0.7911685,0.2494607,0.3753926
phase10_0712v1,ind_direct_res,weather,96,96,2026,13,144,144,ok,0,28661035,24738,0.4081526,0.16561259329319,0.2106107622385025,285.8552,2.7376,79.64,logs/AsySpecX_phase10/phase10_0712v1_ind_direct_res_weather_sl96_pl96_cf13_sd2026.log,phase10_results/screen_0712v1/ind_direct_res/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.1919459,0.8073894,0.2650451,0.3797579
phase10_0712v1,ind_dlinear_res,weather,96,96,2026,13,144,144,ok,0,28661037,34050,0.4079539,0.16552481055259705,0.2104717642068863,293.923,2.4554,81.96,logs/AsySpecX_phase10/phase10_0712v1_ind_dlinear_res_weather_sl96_pl96_cf13_sd2026.log,phase10_results/screen_0712v1/ind_dlinear_res/weather/sl96_pl96_cf13_sd2026/run_summary.json,0.1919944,0.8068463,0.2648483,0.3796578
phase10wcm_0712v1,ind_cycle_full_direct_res,weather,96,192,2024,13,144,144,ok,0,28661338,44814,0.4678217,0.2066015601158142,0.2461300641298294,429.8209,2.8561,90.56,logs/AsySpecX_phase10/phase10wcm_0712v1_ind_cycle_full_direct_res_weather_sl96_pl192_cf13_sd2024.log,phase10_results/confirm_weather_combo_mid_0712v1/ind_cycle_full_direct_res/weather/sl96_pl192_cf13_sd2024/run_summary.json,0.2267791,0.8493881,0.299169,0.5013771
phase10wcm_0712v1,ind_cycle_full_direct_res,weather,96,192,2025,13,144,144,ok,0,28661339,44814,0.4682022,0.20666873455047607,0.2461605668067932,346.3369,2.5339,90.56,logs/AsySpecX_phase10/phase10wcm_0712v1_ind_cycle_full_direct_res_weather_sl96_pl192_cf13_sd2025.log,phase10_results/confirm_weather_combo_mid_0712v1/ind_cycle_full_direct_res/weather/sl96_pl192_cf13_sd2025/run_summary.json,0.2267694,0.850198,0.2992213,0.500897
