dataset,pred_len,Compact + Echo MSE,Compact + Echo MAE,Compact + Echo Params,TQNet MSE,TQNet MAE,TQNet Params,CycleNet MSE,CycleNet MAE,CycleNet Params,FITS MSE,FITS MAE,FITS Params,SparseTSF MSE,SparseTSF MAE,SparseTSF Params,FreTS MSE,FreTS MAE,FreTS Params,FilterNet MSE,FilterNet MAE,FilterNet Params,iTransformer MSE,iTransformer MAE,iTransformer Params,PatchTST MSE,PatchTST MAE,PatchTST Params,DLinear MSE,DLinear MAE,DLinear Params,MixLinear MSE,MixLinear MAE,MixLinear Params,PhaseFormer MSE,PhaseFormer MAE,PhaseFormer Params,FreqCycle MSE,FreqCycle MAE,FreqCycle Params
electricity,96,0.12729970469853819,0.2228328011579249,51746,0.14467470347881317,0.2483416646718979,3074120,0.12850621342658997,0.22351469099521637,123144,0.1417919546365738,0.2435220330953598,37310,0.13845622539520264,0.232941135764122,145,0.1308007538318634,0.22858230769634247,23684064,0.14399871230125427,0.2403172254562378,950498,0.13282805681228638,0.22597725689411163,5153376,0.12943749129772186,0.2245134562253952,1517152,0.13266582787036896,0.22931772470474243,138432,0.14968761801719666,0.24483129382133484,67,0.1284646838903427,0.22031667828559875,3666,0.12927038924104073,0.2253312169954945,306592
electricity,192,0.1448570644745957,0.23897098704736786,86754,0.16448409855365753,0.26711681485176086,3123368,0.14343416690826416,0.23733901977539062,192360,0.15625900030136108,0.25583693385124207,41678,0.15109550952911377,0.24496491253376007,265,0.14679290354251862,0.24324969947338104,23708736,0.17773137986660004,0.2707023620605469,999746,0.15493518114089966,0.2506368160247803,5202624,0.1477529202861975,0.24192687479228522,2623171,0.14708736538887024,0.24335002899169922,276864,0.16276034712791443,0.25682908296585083,87,0.14652885496616364,0.23618851602077484,273160,0.14684333855435916,0.24185368723943326,331360
electricity,336,0.16067349444387086,0.25599924141940406,95970,0.16995851695537567,0.26740190386772156,3197240,0.15949472784996033,0.25424695014953613,296184,0.1719021499156952,0.2712532579898834,48230,0.16615964472293854,0.2602103054523468,445,0.16752952756658823,0.2641076453141484,23745744,0.18075284361839294,0.2803776264190674,1073618,0.16701781749725342,0.2634674906730652,5276496,0.17117235886166063,0.26895248218978174,4282195,0.1623198390007019,0.26039621233940125,484512,0.1780269891023636,0.27206236124038696,111,0.16611619293689728,0.2581985294818878,3756,0.1628172531162216,0.2592874377356357,368512
electricity,720,0.1950067217112771,0.2862778513812786,67042,0.22622038424015045,0.3212098777294159,3394232,0.19765573740005493,0.28780966997146606,573048,0.210378497838974,0.3027832508087158,65884,0.2052305042743683,0.2943643033504486,925,0.19934892654418945,0.2982920706272125,23844432,0.20664073526859283,0.302337110042572,1270610,0.18633435666561127,0.279984712600708,5473488,0.19847363233566284,0.291259765625,8706256,0.1963992714881897,0.29348278045654297,1038240,0.21711865067481995,0.3046438992023468,167,0.19881898164749146,0.28455981612205505,275998,0.1985804229374034,0.2920381553182481,467584
traffic,96,0.3791753737633433,0.2632737343698492,20442,0.4005686640739441,0.29737457633018494,3165008,0.38230055570602417,0.2670319080352783,214032,0.39359763264656067,0.27951163053512573,37310,0.3893495500087738,0.26749545335769653,145,0.4316761123883106,0.33563776035383736,23684064,0.3535124659538269,0.25975045561790466,476956,0.3475149869918823,0.2503238916397095,6731360,0.3609218682395258,0.24901274929134723,1517155,0.42375263571739197,0.32832929491996765,138432,0.40646788477897644,0.2813977599143982,67,0.36367650116627165,0.23251590090348803,37154,0.4007659190399519,0.26944406975185897,397480
traffic,192,0.3947116324019857,0.27010288866242227,22810,0.4207238256931305,0.307436466217041,3214256,0.3943370282649994,0.27327027916908264,283248,0.4043581187725067,0.282828152179718,41678,0.39941394329071045,0.27055492997169495,265,0.4843250639194845,0.3725319505329575,23708736,0.37141746282577515,0.2685295641422272,501628,0.353252649307251,0.25689175724983215,6780608,0.38219149686592496,0.25839301257390795,2623171,0.4300711750984192,0.3262074589729309,276864,0.41904276609420776,0.28638288378715515,87,0.3800035359229216,0.24168152614878102,273160,0.42629155964786886,0.2754195329277771,422248
traffic,336,0.4085616788983479,0.2771064677909008,22810,0.40920355916023254,0.2872856557369232,3288128,0.406368613243103,0.27889689803123474,387072,0.4170425236225128,0.28800371289253235,48230,0.41098272800445557,0.2756803333759308,445,0.5409277510422811,0.4009363545614074,23745744,0.38520509004592896,0.2755923271179199,538636,0.36223262548446655,0.26402005553245544,6854480,0.4005949934543809,0.2681916257917805,4282195,0.4471653997898102,0.3368777930736542,484512,0.42973780632019043,0.29175639152526855,111,0.39231656874613763,0.24729469406519733,273934,0.4424196036318968,0.2965936464152503,459400
traffic,720,0.44010181575425694,0.2962034679624606,22906,0.45453715324401855,0.3107021450996399,3485120,0.4417615234851837,0.30020666122436523,663936,0.4544665515422821,0.3077138066291809,65884,0.4472768306732178,0.29571694135665894,925,0.8505027774870199,0.3220286768851508,23844432,0.4437009394168854,0.3068320155143738,637324,0.39537087082862854,0.28153422474861145,7051472,0.4336286044769836,0.28873348390488324,8706259,0.49559834599494934,0.3625485897064209,1038240,0.46593809127807617,0.31107035279273987,167,0.4332260233254217,0.2686510926802837,275998,0.5026392207876906,0.3104272163107142,558472
PEMS03,12,0.07086846307474438,0.18171387023644392,18458,0.08856990933418274,0.19552183151245117,3080204,0.07520744204521179,0.18702830374240875,111756,0.07539848238229752,0.17934943735599518,33123,0.10233944784111801,0.214922766781851,73,0.06497129797935486,0.17025333642959595,23662476,0.06613995879888535,0.16877569258213043,907480,0.06516961008310318,0.16816693544387817,5110284,0.06148708611726761,0.16305045783519745,549388,0.07481662184000015,0.1803612858057022,17304,0.11254777759313583,0.2252281755208969,41,0.0678580546304708,0.17355206185426253,4197,0.0640410773628973,0.1666450565454293,312436
PEMS03,24,0.09535556372440077,0.20843334605299293,18842,0.13363507390022278,0.23772375285625458,3086360,0.1053524762392044,0.2218151092529297,120408,0.10657844692468643,0.20949968695640564,33666,0.15946587920188904,0.2700903117656708,55,0.08520843833684921,0.19231054186820984,23665560,0.08495981991291046,0.18922345340251923,913636,0.07880288362503052,0.18316060304641724,5116440,0.07275600205709706,0.1746902643005523,687643,0.10782887786626816,0.21869443356990814,34608,0.1413731426000595,0.2470744103193283,59,0.08723587043695627,0.19560656078585553,4206,0.08075768723542702,0.1849073032077255,315532
