dataset,seq_len,pred_len,arm,seeds,n_seeds,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,mape_mean,mape_std,param_count,train_time_mean_s,test_peak_gpu_mem_mean_mb,our_compact_profile,source
PEMS04,720,24,true_compact_echo,"2024,2025,2026",3,0.12330782917563693,0.0015601765817330304,0.23974816391668238,0.0017783287261459988,1.6761029617732446,0.006752523036421384,18434,265.77589829762775,718.24267578125,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS04,720,48,true_compact_echo,"2024,2025,2026",3,0.1618806982864458,0.001575371201485443,0.2752893087957104,0.0010624894123683302,1.8290830674039058,0.027345146040395285,19202,271.0151975949605,754.49560546875,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS04,720,96,true_compact_echo,"2024,2025,2026",3,0.18504525905869987,0.0034205329547160766,0.294773687024101,0.0027569337081514364,1.9272589277374474,0.032876235717192955,20738,288.1646664937337,826.39306640625,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS07,96,12,true_compact_echo,"2024,2025,2026",3,0.06831292999257803,0.0013065371869335645,0.17350168863131735,0.0018893543267893187,1.7251931378181078,0.007904592902290012,12322,197.17821208635965,332.47314453125,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS07,96,24,true_compact_echo,"2024,2025,2026",3,0.09390762851204291,8.733021821934772e-05,0.20329791629218644,0.00023819458405824453,1.9744683928108202,0.021333429583726173,12706,217.6298488775889,384.248046875,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS07,96,48,true_compact_echo,"2024,2025,2026",3,0.14088219543466576,0.0026523739500712218,0.24038325532024207,0.00031598792444441576,2.2156655281216944,0.014295072757750393,13474,271.6209029356639,532.0966796875,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS07,96,96,true_compact_echo,"2024,2025,2026",3,0.19210225983242504,0.001642993827306633,0.27315143360603694,0.00026053348606624657,2.3862826976983653,0.008311383611302747,15010,369.413697719574,861.837890625,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS07,720,12,true_compact_echo,"2024,2025,2026",3,0.05892924384039734,0.00013691567619490854,0.15875065159936153,0.0001767354492937885,1.6113690953073938,0.008474738349556742,22658,1137.7995694478352,513.57275390625,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS07,720,24,true_compact_echo,"2024,2025,2026",3,0.0774966855668883,0.000792780913640997,0.18281010497005185,0.0005655836554091792,1.7793099448149345,0.00838184430692461,23042,1173.6987707614899,526.517578125,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS07,720,48,true_compact_echo,"2024,2025,2026",3,0.10944684077952252,0.0009109672056371369,0.21054195457946204,0.00019216750391153227,1.9449190030612256,0.01505029646068535,23810,1204.0674118995667,552.4072265625,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS07,720,96,true_compact_echo,"2024,2025,2026",3,0.14542394691488922,0.0024789481317542233,0.23378611744261504,0.00045401328294460315,2.0818778328434715,0.008058616354298777,25346,1236.606565316518,604.1875,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS08,96,12,true_compact_echo,"2024,2025,2026",3,0.0869343814927152,0.0007951212652052,0.19622207933749156,0.001074937056523181,1.64181532352217,0.02230285062437643,6618,47.798139810562134,106.740234375,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS08,96,24,true_compact_echo,"2024,2025,2026",3,0.12927178192993835,0.000463496279542018,0.24196796369816323,0.0003740576078836655,1.990888139443038,0.027343200521051415,7002,51.021490255991615,116.73779296875,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS08,96,48,true_compact_echo,"2024,2025,2026",3,0.22581089501485227,0.0014571855170687818,0.3237118876715778,0.001724269313383592,2.472833471435819,0.023886502991999046,7770,55.4271035194397,145.15673828125,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS08,96,96,true_compact_echo,"2024,2025,2026",3,0.3999620829889229,0.0029120293444179646,0.431372416970039,0.002264854079097356,2.883783105298717,0.029861067910458887,9306,66.39776976903279,209.89794921875,input=dct+recent0;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS08,720,12,true_compact_echo,"2024,2025,2026",3,0.09566232418163911,0.0021903910631143404,0.20195257971424335,0.0029184025015159235,1.5589628118693013,0.01795324365982959,16954,152.92652479807535,525.18212890625,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
PEMS08,720,24,true_compact_echo,"2024,2025,2026",3,0.13397482836714947,0.0014854395279798153,0.23521458219719196,0.0016142449207648861,1.7731962513239519,0.010770617416866517,17338,154.3384149869283,534.515625,input=pcke+recent96;output_kron=0;channel=cycle_shared;phase_gate=1,compact_true9_0719v1
