arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase5_asx_cross_clip05,weather,720,336,2026,ok,0.506224,0.252687007188797,0.2918236553668976,31,144,0,28447793,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl336_sd2026.log,0.3654642,0.3441679,0.4183047,0.341079,0.3582994,0.275149,0.9271826,0.3226742,0.5014076
phase5_asx_cross_clip05,weather,720,720,2024,ok,0.597623,0.31711718440055847,0.33791181445121765,31,144,0,28447786,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl720_sd2024.log,0.4158825,0.4078802,0.4706078,0.3678304,0.4172127,0.4705483,0.9747967,0.3575278,0.5889552
phase5_asx_cross_clip05,weather,720,720,2025,ok,0.5936809,0.3188819885253906,0.33865582942962646,31,144,0,28447790,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl720_sd2025.log,0.4147317,0.4081367,0.4710818,0.3660004,0.4137071,0.4706444,0.9710393,0.352105,0.5823476
phase5_asx_cross_clip05,weather,720,720,2026,ok,0.5992764,0.3180333971977234,0.3384927213191986,31,144,0,28447794,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl720_sd2026.log,0.4191621,0.4136996,0.4768884,0.3688025,0.4172561,0.4781851,0.9783933,0.3573557,0.5845907
phase5_asx_cross_clip05,weather,720,96,2024,ok,0.3824031,0.15802299976348877,0.21680870652198792,31,144,0,28447783,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl96_sd2024.log,0.2877224,0.2399536,0.3455867,0.2792673,0.2860807,0.1493547,0.7819604,0.2507629,0.3623512
phase5_asx_cross_clip05,weather,720,96,2025,ok,0.3898268,0.15799950063228607,0.2171955108642578,31,144,0,28447787,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl96_sd2025.log,0.2903451,0.238823,0.3502942,0.2816188,0.2906446,0.1503664,0.800329,0.2528377,0.368714
phase5_asx_cross_clip05,weather,720,96,2026,ok,0.3835502,0.15775305032730103,0.2176450937986374,31,144,0,28447791,logs/AsySpecX_phase5/phase5_asx_cross_clip05_weather_sl720_pl96_sd2026.log,0.2864462,0.2405576,0.3437827,0.2766728,0.2847707,0.1481584,0.7887242,0.2485877,0.3574446
phase5_asx_individual,electricity,720,192,2024,ok,0.1325952,0.1590166836977005,0.2580910325050354,181,24+168,0,28447820,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl192_sd2024.log,0.2316288,0.2176649,0.22194,0.2413545,0.2455786,0.1286177,0.1222837,0.1422995,0.1373022
phase5_asx_individual,electricity,720,192,2025,ok,0.1325685,0.15901660919189453,0.2580964267253876,181,24+168,0,28447824,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl192_sd2025.log,0.2316393,0.2176815,0.221966,0.2413455,0.245587,0.1286215,0.1223199,0.1422633,0.1372905
phase5_asx_individual,electricity,720,192,2026,ok,0.1325634,0.15905608236789703,0.25816333293914795,181,24+168,0,28447828,logs/AsySpecX_phase5/phase5_asx_individual_electricity_sl720_pl192_sd2026.log,0.2316775,0.2177289,0.2220055,0.2413887,0.2456099,0.1286481,0.1223104,0.1423096,0.1372864
