dataset,seq_len,pred_len,selector,selected_arm,test_mse,test_mae,oracle_arm,oracle_mse,fixed_best_arm
traffic,96,192,policy_family,phase6_asx_cross_clip05,0.584051,0.370466,phase6_asx_cross_clip05,0.584051,phase6_asx_period_multi
traffic,96,336,policy_family,phase6_asx_cross_clip05,0.590953,0.37248,phase6_asx_cross_clip05,0.590953,phase6_asx_period_multi
traffic,96,720,policy_family,phase6_asx_cross_clip05,0.624815,0.388458,phase6_asx_cross_clip05,0.624815,phase6_asx_period_multi
traffic,96,96,policy_family,phase6_asx_cross_clip05,0.621603,0.392252,phase6_asx_cross_clip05,0.621603,phase6_asx_period_multi
weather,720,192,policy_family,phase6_asx_individual_revin,0.190203,0.240335,phase6_asx_individual_revin,0.190203,phase6_asx_period_multi
weather,720,336,policy_family,phase6_asx_individual_revin,0.240016,0.279124,phase6_asx_individual_revin,0.240016,phase6_asx_period_multi
weather,720,720,policy_family,phase6_asx_individual_revin,0.31011,0.328973,phase6_asx_individual,0.309688,phase6_asx_period_multi
weather,720,96,policy_family,phase6_asx_individual_revin,0.147851,0.200624,phase6_asx_individual_revin,0.147851,phase6_asx_period_multi
weather,96,192,policy_family,phase6_asx_individual_revin,0.231881,0.274434,phase6_asx_individual_revin,0.231881,phase6_asx_period_multi
weather,96,336,policy_family,phase6_asx_individual_revin,0.283318,0.308607,phase6_asx_individual_revin,0.283318,phase6_asx_period_multi
weather,96,720,policy_family,phase6_asx_individual_revin,0.3567,0.353665,phase6_asx_individual_revin,0.3567,phase6_asx_period_multi
