arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase6_asx_cross,PEMS04,96,12,2026,ok,0.0977546,0.0933331772685051,0.20491506159305573,49,24,0,28522677,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl12_sd2026.log,0.2120706,0.2199502,0.2018602,0.208659,0.2178196,0.1053016,0.0892358,0.0976624,0.099137
phase6_asx_cross,PEMS04,96,24,2024,ok,0.1443664,0.13951759040355682,0.256724089384079,49,24,0,28522670,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl24_sd2024.log,0.2634386,0.274839,0.248917,0.2585511,0.2714566,0.1588608,0.127978,0.1439526,0.147106
phase6_asx_cross,PEMS04,96,24,2025,ok,0.1443654,0.1394130438566208,0.2567377984523773,49,24,0,28522674,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl24_sd2025.log,0.2634627,0.2749714,0.2488705,0.2586043,0.2714139,0.1588632,0.127935,0.1439049,0.1470515
phase6_asx_cross,PEMS04,96,24,2026,ok,0.1448364,0.13988851010799408,0.2567095458507538,49,24,0,28522678,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl24_sd2026.log,0.2632658,0.274717,0.248815,0.2581557,0.2713851,0.1595635,0.1282544,0.1441597,0.1475067
phase6_asx_cross,PEMS04,96,48,2024,ok,0.2684075,0.25301235914230347,0.3557122051715851,49,24,0,28522671,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl48_sd2024.log,0.3673679,0.3880768,0.341703,0.3598022,0.3799045,0.3039654,0.2250935,0.2653262,0.2792894
phase6_asx_cross,PEMS04,96,48,2025,ok,0.2548921,0.24947091937065125,0.3562508821487427,49,24,0,28522675,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl48_sd2025.log,0.3609163,0.3770755,0.3438613,0.3526682,0.3700712,0.2811902,0.2235455,0.2516632,0.262973
phase6_asx_cross,PEMS04,96,48,2026,ok,0.2601023,0.2531357407569885,0.3605908155441284,49,24,0,28522679,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl48_sd2026.log,0.366588,0.3848473,0.3491312,0.3573279,0.3750557,0.2878172,0.2291003,0.2558759,0.2675247
phase6_asx_cross,PEMS04,96,96,2024,ok,0.4184756,0.3861340880393982,0.4577193856239319,49,24,0,28522672,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl96_sd2024.log,0.4796542,0.4858377,0.4572445,0.4813702,0.494182,0.4342872,0.3717944,0.4267301,0.4416119
phase6_asx_cross,PEMS04,96,96,2025,ok,0.4285345,0.4010655879974365,0.4716286361217499,49,24,0,28522676,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl96_sd2025.log,0.4890243,0.505635,0.4634826,0.490027,0.4969621,0.4491918,0.3789655,0.4436165,0.4425759
phase6_asx_cross,PEMS04,96,96,2026,ok,0.425729,0.3933713734149933,0.4633527100086212,49,24,0,28522680,logs/AsySpecX_phase6/phase6_asx_cross_PEMS04_sl96_pl96_sd2026.log,0.4852279,0.4881049,0.4660399,0.4859366,0.5008494,0.4371876,0.3837866,0.4297186,0.4520053
