arm,dataset,seq_len,pred_len,seed,status,mse,mae,exit_code,job_id,log_file
phase2_global_all,weather,96,96,2026,ok,0.1977613866329193,0.25198766589164734,0,28306863,logs/AsySpecX_phase2/phase2_global_all_weather_sl96_pl96_sd2026.log
phase2_global_all,weather,96,96,2027,ok,0.19701342284679413,0.2509671747684479,0,28306871,logs/AsySpecX_phase2/phase2_global_all_weather_sl96_pl96_sd2027.log
phase2_global_all_clip05,ETTh1,720,192,2026,ok,0.41382554173469543,0.42273858189582825,0,28307508,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl720_pl192_sd2026.log
phase2_global_all_clip05,ETTh1,720,192,2027,ok,0.4136291444301605,0.42262595891952515,0,28307516,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl720_pl192_sd2027.log
phase2_global_all_clip05,ETTh1,720,336,2026,ok,0.4343583285808563,0.4412635564804077,0,28307509,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl720_pl336_sd2026.log
phase2_global_all_clip05,ETTh1,720,336,2027,ok,0.43276694416999817,0.4388347268104553,0,28307517,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl720_pl336_sd2027.log
phase2_global_all_clip05,ETTh1,720,720,2026,ok,0.4311992824077606,0.45770081877708435,0,28307510,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl720_pl720_sd2026.log
phase2_global_all_clip05,ETTh1,720,720,2027,ok,0.43417036533355713,0.46019378304481506,0,28307518,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl720_pl720_sd2027.log
phase2_global_all_clip05,ETTh1,720,96,2026,ok,0.37927624583244324,0.40237608551979065,0,28307507,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl720_pl96_sd2026.log
phase2_global_all_clip05,ETTh1,720,96,2027,ok,0.37939295172691345,0.4025065302848816,0,28307515,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl720_pl96_sd2027.log
phase2_global_all_clip05,ETTh1,96,192,2026,ok,0.43679776787757874,0.42753687500953674,0,28307504,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl96_pl192_sd2026.log
phase2_global_all_clip05,ETTh1,96,192,2027,ok,0.4367428421974182,0.4260462820529938,0,28307512,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl96_pl192_sd2027.log
phase2_global_all_clip05,ETTh1,96,336,2026,ok,0.47761911153793335,0.45036637783050537,0,28307505,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl96_pl336_sd2026.log
phase2_global_all_clip05,ETTh1,96,336,2027,ok,0.48361465334892273,0.456838458776474,0,28307513,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl96_pl336_sd2027.log
phase2_global_all_clip05,ETTh1,96,720,2026,ok,0.4703356921672821,0.4725002348423004,0,28307506,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl96_pl720_sd2026.log
phase2_global_all_clip05,ETTh1,96,720,2027,ok,0.46524977684020996,0.4658298194408417,0,28307514,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl96_pl720_sd2027.log
phase2_global_all_clip05,ETTh1,96,96,2026,ok,0.38949787616729736,0.39882561564445496,0,28307503,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl96_pl96_sd2026.log
phase2_global_all_clip05,ETTh1,96,96,2027,ok,0.3884861171245575,0.39683863520622253,0,28307511,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTh1_sl96_pl96_sd2027.log
phase2_global_all_clip05,ETTm1,720,192,2026,ok,0.34526246786117554,0.3744138479232788,0,28307524,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl720_pl192_sd2026.log
phase2_global_all_clip05,ETTm1,720,192,2027,ok,0.34541529417037964,0.3745177984237671,0,28307532,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl720_pl192_sd2027.log
phase2_global_all_clip05,ETTm1,720,336,2026,ok,0.37227654457092285,0.3900873363018036,0,28307525,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl720_pl336_sd2026.log
phase2_global_all_clip05,ETTm1,720,336,2027,ok,0.37247177958488464,0.3903401792049408,0,28307533,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl720_pl336_sd2027.log
phase2_global_all_clip05,ETTm1,720,720,2026,ok,0.4202268123626709,0.41566112637519836,0,28307526,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl720_pl720_sd2026.log
phase2_global_all_clip05,ETTm1,720,720,2027,ok,0.42046791315078735,0.4158572554588318,0,28307534,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl720_pl720_sd2027.log
phase2_global_all_clip05,ETTm1,720,96,2026,ok,0.31834331154823303,0.35943731665611267,0,28307523,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl720_pl96_sd2026.log
phase2_global_all_clip05,ETTm1,720,96,2027,ok,0.3185397684574127,0.3597511053085327,0,28307531,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl720_pl96_sd2027.log
phase2_global_all_clip05,ETTm1,96,192,2026,ok,0.402221143245697,0.3999963104724884,0,28307520,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl96_pl192_sd2026.log
phase2_global_all_clip05,ETTm1,96,192,2027,ok,0.4030674397945404,0.40063709020614624,0,28307528,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl96_pl192_sd2027.log
phase2_global_all_clip05,ETTm1,96,336,2026,ok,0.4327769875526428,0.4199485182762146,0,28307521,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl96_pl336_sd2026.log
phase2_global_all_clip05,ETTm1,96,336,2027,ok,0.43383708596229553,0.4206678569316864,0,28307529,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl96_pl336_sd2027.log
phase2_global_all_clip05,ETTm1,96,720,2026,ok,0.49147918820381165,0.452139675617218,0,28307522,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl96_pl720_sd2026.log
phase2_global_all_clip05,ETTm1,96,720,2027,ok,0.4918098449707031,0.45238712430000305,0,28307530,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl96_pl720_sd2027.log
phase2_global_all_clip05,ETTm1,96,96,2026,ok,0.3700108230113983,0.38624638319015503,0,28307519,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl96_pl96_sd2026.log
phase2_global_all_clip05,ETTm1,96,96,2027,ok,0.36967894434928894,0.38598567247390747,0,28307527,logs/AsySpecX_phase2/phase2_global_all_clip05_ETTm1_sl96_pl96_sd2027.log
phase2_global_all_clip05,PEMS04,96,12,2026,ok,0.09803705662488937,0.20847253501415253,0,28307583,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS04_sl96_pl12_sd2026.log
phase2_global_all_clip05,PEMS04,96,12,2027,ok,0.10221021622419357,0.21491152048110962,0,28307587,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS04_sl96_pl12_sd2027.log
phase2_global_all_clip05,PEMS04,96,24,2026,ok,0.1522776037454605,0.26622962951660156,0,28307584,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS04_sl96_pl24_sd2026.log
phase2_global_all_clip05,PEMS04,96,24,2027,ok,0.15133138000965118,0.26423379778862,0,28307588,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS04_sl96_pl24_sd2027.log
phase2_global_all_clip05,PEMS04,96,48,2026,ok,0.305297315120697,0.3923918902873993,0,28307585,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS04_sl96_pl48_sd2026.log
phase2_global_all_clip05,PEMS04,96,48,2027,ok,0.2975058853626251,0.38808661699295044,0,28307589,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS04_sl96_pl48_sd2027.log
phase2_global_all_clip05,PEMS04,96,96,2026,ok,0.6165047287940979,0.5928574800491333,0,28307586,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS04_sl96_pl96_sd2026.log
phase2_global_all_clip05,PEMS04,96,96,2027,ok,0.6358635425567627,0.5988142490386963,0,28307590,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS04_sl96_pl96_sd2027.log
phase2_global_all_clip05,PEMS08,96,12,2026,ok,0.09721794724464417,0.2055818736553192,0,28307591,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS08_sl96_pl12_sd2026.log
phase2_global_all_clip05,PEMS08,96,12,2027,ok,0.09693491458892822,0.2055915743112564,0,28307595,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS08_sl96_pl12_sd2027.log
phase2_global_all_clip05,PEMS08,96,24,2026,ok,0.15908005833625793,0.267692506313324,0,28307592,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS08_sl96_pl24_sd2026.log
phase2_global_all_clip05,PEMS08,96,24,2027,ok,0.16174471378326416,0.2698576748371124,0,28307596,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS08_sl96_pl24_sd2027.log
phase2_global_all_clip05,PEMS08,96,48,2026,ok,0.3170551657676697,0.39582762122154236,0,28307593,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS08_sl96_pl48_sd2026.log
phase2_global_all_clip05,PEMS08,96,48,2027,ok,0.3141035735607147,0.3928529918193817,0,28307597,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS08_sl96_pl48_sd2027.log
phase2_global_all_clip05,PEMS08,96,96,2026,ok,0.7146857380867004,0.6293172836303711,0,28307594,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS08_sl96_pl96_sd2026.log
phase2_global_all_clip05,PEMS08,96,96,2027,ok,0.7638838887214661,0.6609914302825928,0,28307598,logs/AsySpecX_phase2/phase2_global_all_clip05_PEMS08_sl96_pl96_sd2027.log
phase2_global_all_clip05,electricity,720,192,2026,ok,0.15628118813037872,0.25590506196022034,0,28307556,logs/AsySpecX_phase2/phase2_global_all_clip05_electricity_sl720_pl192_sd2026.log
phase2_global_all_clip05,electricity,720,192,2027,ok,0.15617185831069946,0.2557336688041687,0,28307564,logs/AsySpecX_phase2/phase2_global_all_clip05_electricity_sl720_pl192_sd2027.log
phase2_global_all_clip05,electricity,720,336,2026,ok,0.1717548966407776,0.2710796892642975,0,28307557,logs/AsySpecX_phase2/phase2_global_all_clip05_electricity_sl720_pl336_sd2026.log
phase2_global_all_clip05,electricity,720,336,2027,ok,0.17171746492385864,0.2710537016391754,0,28307565,logs/AsySpecX_phase2/phase2_global_all_clip05_electricity_sl720_pl336_sd2027.log
phase2_global_all_clip05,electricity,720,720,2026,ok,0.21003368496894836,0.30235493183135986,0,28307558,logs/AsySpecX_phase2/phase2_global_all_clip05_electricity_sl720_pl720_sd2026.log
phase2_global_all_clip05,electricity,720,720,2027,ok,0.20999877154827118,0.3024570047855377,0,28307566,logs/AsySpecX_phase2/phase2_global_all_clip05_electricity_sl720_pl720_sd2027.log
